Temp [c],Current (a.u.)
80.048,3.806
80.25,3.868
79.493,3.947
79.955,4.005
79.733,4.059
79.296,4.099
79.276,4.141
79.772,4.194
79.787,4.263
79.001,4.292
78.609,4.353
79.014,4.394
78.851,4.482
78.725,4.531
78.902,4.555
79.12,4.594
78.78,4.663
78.294,4.684
78.732,4.7
78.602,4.761
78.079,4.773
78.294,4.737
78.033,4.718
77.987,4.68
77.58,4.662
77.993,4.603
77.902,4.565
78.137,4.536
77.547,4.515
77.699,4.506
77.588,4.52
77.299,4.574
77.305,4.584
77.221,4.656
77.339,4.674
76.933,4.676
77.069,4.671
77.09,4.726
76.932,4.687
77.181,4.707
76.539,4.737
76.683,4.754
76.808,4.797
76.416,4.838
76.35,4.825
76.101,4.858
76.435,4.907
76.518,4.929
76.56,4.946
76.028,4.972
76.233,4.992
76.343,5.007
75.766,5.028
75.886,5.048
75.937,5.103
75.661,5.211
75.655,5.351
75.931,5.449
75.262,5.617
75.274,5.655
75.256,5.761
75.052,5.861
75.373,5.946
74.802,5.991
75.104,6.056
75.13,6.073
74.371,6.134
74.548,6.198
74.404,6.228
75.019,6.243
74.994,6.288
74.384,6.312
74.324,6.369
74.029,6.387
74.39,6.436
74.476,6.496
74.581,6.553
74.193,6.596
74.076,6.629
73.774,6.666
74.096,6.711
73.914,6.735
74.017,6.767
73.782,6.815
73.748,6.824
73.165,6.849
73.274,6.866
73.531,6.857
72.849,6.873
72.978,6.853
72.995,6.809
73.151,6.78
72.824,6.746
72.802,6.702
72.777,6.689
72.66,6.692
72.788,6.706
72.534,6.719
72.659,6.733
72.521,6.751
72.187,6.779
72.482,6.793
72.123,6.824
71.975,6.857
72.179,6.909
71.904,6.967
72.2,7.024
71.97,7.054
71.734,7.087
71.766,7.115
71.542,7.148
71.374,7.181
71.824,7.195
71.587,7.215
71.528,7.231
71.799,7.228
71.543,7.234
71.338,7.234
71.267,7.251
71.288,7.258
70.971,7.248
70.379,7.252
70.828,7.258
70.703,7.258
70.761,7.258
70.301,7.258
70.715,7.258
70.382,7.258
70.709,7.258
70.821,7.258
70.315,7.258
70.156,7.257
69.795,7.256
70.11,7.258
70.052,7.255
70.163,7.242
70.072,7.235
69.724,7.248
70.007,7.246
69.659,7.249
69.618,7.258
69.86,7.258
69.435,7.257
69.679,7.258
69.916,7.258
69.586,7.258
70.203,7.258
69.611,7.259
69.461,7.259
69.165,7.259
69.229,7.259
69.236,7.259
69.271,7.259
69.006,7.259
69.165,7.259
69.033,7.259
68.671,7.259
68.61,7.259
68.954,7.259
68.665,7.259
68.427,7.259
68.677,7.259
68.659,7.259
68.887,7.259
68.099,7.259
68.303,7.259
68.553,7.259
68.257,7.259
68.118,7.259
68.394,7.259
68.204,7.259
68.336,7.259
68.138,7.259
68.232,7.259
67.902,7.259
68.218,7.259
67.914,7.259
67.941,7.259
67.96,7.259
67.763,7.259
67.348,7.259
67.211,7.259
67.216,7.259
67.296,7.259
67.284,7.259
67.001,7.259
67.514,7.259
67.237,7.259
67.211,7.259
67.764,7.259
67.166,7.259
66.94,7.259
67.053,7.259
67.198,7.259
