Curve ID,Tube temp [°C],ΔT [°C],V_CG start [V],V_CG end [V],Delta [V],Amp gain,I_filament [mA]
exp2m1,180,5,0,14,0.1,5 x1 nA,3.13
exp2m2,175,5,10,30,0.1,5 x10 pA,3
